"","State Name","mean(AQI)"
"1","Alabama",26.6807817589577
"2","Alaska",36.6774193548387
"3","Arizona",33.8618644067797
"4","Arkansas",32.1745283018868
"5","California",42.0270819228165
"6","Colorado",35.8409529942048
"7","Connecticut",32.45
"8","Country Of Mexico",36.4835164835165
"9","Delaware",37.3756906077348
"10","District Of Columbia",28.1868131868132
"11","Florida",34.1946472019465
"12","Georgia",33.0286666666667
"13","Hawaii",7.07246376811594
"14","Idaho",22.4105960264901
"15","Illinois",29.8144544822794
"16","Indiana",32.8600143575018
"17","Iowa",37.6460481099656
"18","Kentucky",29.0295857988166
"19","Louisiana",32.0953693495039
"20","Maine",35.3020214030916
"21","Maryland",28.2491987179487
"22","Massachusetts",39.1012987012987
"23","Michigan",30.225641025641
"24","Minnesota",32.7719298245614
"25","Mississippi",35.2005532503458
"26","Montana",32.4190687361419
"27","Nebraska",23.2186878727634
"28","Nevada",45.9859154929577
"29","New Hampshire",32.6333333333333
"30","New Jersey",30.7368421052632
"31","New Mexico",25.7415506958251
"32","New York",34.5264288783842
"33","North Carolina",18.159122085048
"34","North Dakota",29.9966960352423
"35","Ohio",28.535401459854
"36","Oklahoma",28.1931486880466
"37","Oregon",21.331550802139
"38","Pennsylvania",16.5889884763124
"39","Rhode Island",25.7264150943396
"40","South Carolina",32.2613531047266
"41","Tennessee",33.268115942029
"42","Texas",26.6457080371788
"43","Utah",41.1643663739021
"44","Virginia",25.0025284450063
"45","Washington",23.5686486486486
"46","West Virginia",17.4217207334274
"47","Wisconsin",33.2333333333333
"48","Wyoming",18.0789889415482
